"VendorNumber,VendorName_x,total_purchase_qty,total_purchase_cost,avg_unit_cost,total_freight,freight_ratio,VendorName_y,total_sales_qty,total_sales_revenue,avg_sales_price,gross_profit,sales_to_cost_ratio,gross_margin_pct"
"54,AAPER ALCOHOL & CHEMICAL CO,1,105.07,105.07,0.0,0.0,0,0.0,0.0,0.0,-105.07,0.0,-inf"
"60,ADAMBA IMPORTS INTL INC    ,708,11461.2,16.218064516129033,54.260000000000005,0.004734233762607755,ADAMBA IMPORTS INTL INC    ,416.0,7071.839999999999,16.997936507936505,-4389.3600000000015,0.617024395351272,-62.068146338152474"
"105,ALTAMAR BRANDS LLC         ,72,2496.3599999999997,34.75153846153846,17.560000000000002,0.007034241856142545,ALTAMAR BRANDS LLC         ,31.0,1429.69,49.19,-1066.6699999999996,0.5727098655642616,-74.60848155893932"
"200,AMERICAN SPIRITS EXCHANGE  ,36,350.28000000000003,9.73,0.63,0.0017985611510791366,AMERICAN SPIRITS EXCHANGE  ,2.0,28.979999999999997,14.489999999999998,-321.3,0.08273381294964027,-1108.6956521739132"
"287,APPOLO VINEYARDS LLC       ,48,501.72,10.4525,2.04,0.004066012915570438,APPOLO VINEYARDS LLC       ,9.0,139.41,15.49,-362.31000000000006,0.2778641473331739,-259.88809984936523"
"388,ATLANTIC IMPORTING COMPANY ,283,6029.72,21.304761904761904,55.54,0.009211041308717485,ATLANTIC IMPORTING COMPANY ,170.0,5856.299999999999,31.380977443609023,-173.42000000000098,0.9712391288484372,-2.9612554001673583"
"480,BACARDI USA INC            ,224333,2760144.71,14.392215794041077,28155.48,0.010200726033672343,BACARDI USA INC            ,145817.0,2497793.43,16.49982598844875,-262351.2799999998,0.904950171978483,-10.503321725848233"
"516,BANFI PRODUCTS CORP        ,34623,246731.88999999998,7.441644182124789,1701.88,0.006897689633877486,BANFI PRODUCTS CORP        ,21850.0,260105.72,12.264358599250253,13373.830000000016,1.0542038971938326,5.141690078941753"
"653,STATE WINE & SPIRITS   ,22581,223052.62,10.979759389671361,2090.06,0.00937025532360929,STATE WINE & SPIRITS   ,15845.0,230790.55,15.429756005533896,7737.929999999993,1.034691051824453,3.3527932577828654"
"660,SAZERAC NORTH AMERICA INC. ,74725,530306.73,7.680886590321389,4735.82,0.008930341125408685,SAZERAC NORTH AMERICA INC. ,50204.0,506497.96,10.666631174070078,-23808.76999999996,0.9551037755074314,-4.700664539695276"
"1003,BRONCO WINE COMPANY        ,100,529.24,5.628571428571428,4.95,0.00935303454009523,BRONCO WINE COMPANY        ,52.0,337.48,6.906666666666666,-191.76,0.6376691104224926,-56.821144956738166"
"1128,BROWN-FORMAN CORP          ,154623,2169886.0,18.50242641298265,21817.23,0.010054551252922964,BROWN-FORMAN CORP          ,98135.0,1854216.15,20.37018185925675,-315669.8500000001,0.8545223804384193,-17.024436444478177"
"1189,BULLY BOY DISTILLERS       ,862,18739.9,21.88537037037037,63.68,0.003398097108309009,BULLY BOY DISTILLERS       ,491.0,13115.09,26.755042979942694,-5624.810000000001,0.6998484516993153,-42.88807777910789"
"1265,BLACK ROCK SPIRITS LLC     ,7,98.35,14.05,2.53,0.0257244534824606,BLACK ROCK SPIRITS LLC     ,12.0,299.88,24.99,201.53,3.0491103202846976,67.20354808590103"
